sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,4.50575208,8.47521265,0..30cm,20.0,11.0,30.0,58.0,37.0,79.0,22.0,11.0,34.0,1420.0,1240.0,1610.0,7.7,4.1,14.8,6.0,5.5,6.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,4.50575208,8.47521265,30..60cm,23.0,14.0,32.0,54.0,34.0,74.0,23.0,12.0,33.0,1480.0,1290.0,1700.0,4.6,2.7,7.5,5.9,5.5,6.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,4.50575208,8.47521265,60..100cm,25.0,14.0,34.0,52.0,31.0,74.0,23.0,13.0,37.0,1540.0,1360.0,1740.0,4.2,2.3,7.0,5.8,5.1,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1053.417,4.51214687,8.4698854,0..30cm,21.0,10.0,33.0,58.0,38.0,81.0,21.0,9.0,34.0,1420.0,1220.0,1600.0,7.9,4.9,14.3,6.1,5.5,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1053.417,4.51214687,8.4698854,30..60cm,24.0,15.0,33.0,55.0,40.0,77.0,22.0,9.0,31.0,1480.0,1320.0,1680.0,4.9,2.2,8.2,5.9,5.4,6.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1053.417,4.51214687,8.4698854,60..100cm,26.0,14.0,35.0,53.0,31.0,75.0,22.0,9.0,35.0,1540.0,1340.0,1760.0,3.8,2.3,6.1,5.9,5.0,7.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2106.834,4.51763695,8.47492923,0..30cm,20.0,10.0,29.0,62.0,47.0,79.0,18.0,9.0,27.0,1440.0,1240.0,1620.0,9.1,6.1,14.5,6.0,5.5,6.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2106.834,4.51763695,8.47492923,30..60cm,22.0,14.0,31.0,58.0,45.0,74.0,19.0,9.0,28.0,1500.0,1340.0,1680.0,5.3,2.9,8.4,5.8,5.4,6.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2106.834,4.51763695,8.47492923,60..100cm,25.0,16.0,34.0,55.0,43.0,71.0,21.0,9.0,31.0,1550.0,1410.0,1760.0,3.8,2.3,5.7,5.6,5.0,6.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2976.9,4.52269629,8.47752734,0..30cm,22.0,11.0,33.0,59.0,36.0,81.0,20.0,9.0,31.0,1450.0,1270.0,1620.0,8.2,4.8,15.5,6.1,5.5,6.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2976.9,4.52269629,8.47752734,30..60cm,24.0,14.0,37.0,55.0,33.0,75.0,20.0,9.0,33.0,1490.0,1320.0,1680.0,4.8,2.4,9.0,5.9,5.4,6.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2976.9,4.52269629,8.47752734,60..100cm,27.0,17.0,38.0,52.0,30.0,71.0,21.0,8.0,35.0,1530.0,1340.0,1760.0,3.8,2.1,5.8,5.8,5.1,6.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3160.25,4.5241979,8.47719228,0..30cm,22.0,12.0,35.0,58.0,38.0,79.0,20.0,9.0,30.0,1460.0,1250.0,1620.0,9.1,5.6,15.5,6.1,5.6,6.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3160.25,4.5241979,8.47719228,30..60cm,24.0,15.0,34.0,56.0,34.0,75.0,20.0,9.0,33.0,1500.0,1350.0,1680.0,5.2,2.8,8.3,5.9,5.4,6.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3160.25,4.5241979,8.47719228,60..100cm,27.0,17.0,36.0,53.0,33.0,70.0,21.0,8.0,34.0,1550.0,1420.0,1760.0,3.7,2.1,6.0,5.7,5.1,6.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4213.667,4.53124527,8.4818714,0..30cm,21.0,11.0,34.0,60.0,38.0,81.0,19.0,8.0,30.0,1450.0,1250.0,1610.0,8.0,4.7,15.6,6.2,5.5,6.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4213.667,4.53124527,8.4818714,30..60cm,23.0,13.0,36.0,58.0,33.0,81.0,19.0,6.0,33.0,1490.0,1290.0,1690.0,5.4,2.3,11.0,6.0,5.4,6.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4213.667,4.53124527,8.4818714,60..100cm,25.0,12.0,36.0,56.0,31.0,77.0,20.0,7.0,35.0,1520.0,1300.0,1780.0,4.5,2.3,8.4,5.9,5.1,7.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5267.084,4.53717856,8.48310976,0..30cm,21.0,10.0,31.0,61.0,42.0,83.0,18.0,3.0,31.0,1460.0,1250.0,1610.0,6.8,4.3,11.2,6.3,5.6,7.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5267.084,4.53717856,8.48310976,30..60cm,23.0,13.0,34.0,58.0,34.0,81.0,19.0,7.0,39.0,1490.0,1320.0,1700.0,4.6,2.1,8.6,6.1,5.5,6.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5267.084,4.53717856,8.48310976,60..100cm,24.0,14.0,36.0,55.0,34.0,78.0,20.0,6.0,37.0,1520.0,1330.0,1720.0,4.0,1.4,7.8,6.0,5.0,7.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5953.8,4.54111897,8.48495858,0..30cm,23.0,11.0,34.0,57.0,34.0,82.0,20.0,3.0,36.0,1450.0,1250.0,1630.0,9.0,5.3,16.1,6.2,5.5,6.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5953.8,4.54111897,8.48495858,30..60cm,25.0,14.0,35.0,54.0,30.0,79.0,21.0,7.0,37.0,1480.0,1260.0,1670.0,5.4,2.8,10.5,6.0,5.4,6.7
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5953.8,4.54111897,8.48495858,60..100cm,26.0,14.0,37.0,52.0,29.0,73.0,22.0,6.0,35.0,1520.0,1320.0,1730.0,4.0,2.1,6.7,5.9,5.1,7.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5953.8,4.54111897,8.48495858,0..30cm,23.0,11.0,34.0,57.0,34.0,82.0,20.0,3.0,36.0,1450.0,1250.0,1630.0,9.0,5.3,16.1,6.2,5.5,6.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5953.8,4.54111897,8.48495858,30..60cm,25.0,14.0,35.0,54.0,30.0,79.0,21.0,7.0,37.0,1480.0,1260.0,1670.0,5.4,2.8,10.5,6.0,5.4,6.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5953.8,4.54111897,8.48495858,60..100cm,26.0,14.0,37.0,52.0,29.0,73.0,22.0,6.0,35.0,1520.0,1320.0,1730.0,4.0,2.1,6.7,5.9,5.1,7.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5967.95,4.54121713,8.48488907,0..30cm,23.0,11.0,34.0,57.0,34.0,82.0,20.0,3.0,36.0,1450.0,1250.0,1630.0,9.0,5.3,16.1,6.2,5.5,6.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5967.95,4.54121713,8.48488907,30..60cm,25.0,14.0,35.0,54.0,30.0,79.0,21.0,7.0,37.0,1480.0,1260.0,1670.0,5.4,2.8,10.5,6.0,5.4,6.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5967.95,4.54121713,8.48488907,60..100cm,26.0,14.0,37.0,52.0,29.0,73.0,22.0,6.0,35.0,1520.0,1320.0,1730.0,4.0,2.1,6.7,5.9,5.1,7.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5982.1,4.54130363,8.48480338,0..30cm,23.0,11.0,34.0,57.0,34.0,82.0,20.0,3.0,36.0,1450.0,1250.0,1630.0,9.0,5.3,16.1,6.2,5.5,6.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5982.1,4.54130363,8.48480338,30..60cm,25.0,14.0,35.0,54.0,30.0,79.0,21.0,7.0,37.0,1480.0,1260.0,1670.0,5.4,2.8,10.5,6.0,5.4,6.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5982.1,4.54130363,8.48480338,60..100cm,26.0,14.0,37.0,52.0,29.0,73.0,22.0,6.0,35.0,1520.0,1320.0,1730.0,4.0,2.1,6.7,5.9,5.1,7.0
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5982.1,4.54130363,8.48480338,0..30cm,23.0,11.0,34.0,57.0,34.0,82.0,20.0,3.0,36.0,1450.0,1250.0,1630.0,9.0,5.3,16.1,6.2,5.5,6.9
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5982.1,4.54130363,8.48480338,30..60cm,25.0,14.0,35.0,54.0,30.0,79.0,21.0,7.0,37.0,1480.0,1260.0,1670.0,5.4,2.8,10.5,6.0,5.4,6.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5982.1,4.54130363,8.48480338,60..100cm,26.0,14.0,37.0,52.0,29.0,73.0,22.0,6.0,35.0,1520.0,1320.0,1730.0,4.0,2.1,6.7,5.9,5.1,7.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6096.95,4.54211211,8.48477943,0..30cm,22.0,11.0,32.0,59.0,36.0,83.0,19.0,3.0,31.0,1440.0,1250.0,1600.0,6.9,3.5,12.0,6.2,5.6,7.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6096.95,4.54211211,8.48477943,30..60cm,23.0,13.0,36.0,58.0,33.0,81.0,19.0,7.0,37.0,1480.0,1290.0,1710.0,5.1,2.2,10.3,6.1,5.4,6.9
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6096.95,4.54211211,8.48477943,60..100cm,24.0,12.0,37.0,55.0,30.0,81.0,20.0,6.0,38.0,1510.0,1280.0,1760.0,4.1,1.6,7.5,6.0,5.0,7.2
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6211.8,4.54295945,8.48494673,0..30cm,22.0,11.0,32.0,59.0,36.0,83.0,19.0,3.0,31.0,1440.0,1250.0,1600.0,6.9,3.5,12.0,6.2,5.6,7.0
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6211.8,4.54295945,8.48494673,30..60cm,23.0,13.0,36.0,58.0,33.0,81.0,19.0,7.0,37.0,1480.0,1290.0,1710.0,5.1,2.2,10.3,6.1,5.4,6.9
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6211.8,4.54295945,8.48494673,60..100cm,24.0,12.0,37.0,55.0,30.0,81.0,20.0,6.0,38.0,1510.0,1280.0,1760.0,4.1,1.6,7.5,6.0,5.0,7.2
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6211.8,4.54295945,8.48494673,0..30cm,22.0,11.0,32.0,59.0,36.0,83.0,19.0,3.0,31.0,1440.0,1250.0,1600.0,6.9,3.5,12.0,6.2,5.6,7.0
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6211.8,4.54295945,8.48494673,30..60cm,23.0,13.0,36.0,58.0,33.0,81.0,19.0,7.0,37.0,1480.0,1290.0,1710.0,5.1,2.2,10.3,6.1,5.4,6.9
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6211.8,4.54295945,8.48494673,60..100cm,24.0,12.0,37.0,55.0,30.0,81.0,20.0,6.0,38.0,1510.0,1280.0,1760.0,4.1,1.6,7.5,6.0,5.0,7.2
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,6245.9,4.54322312,8.48504553,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,6245.9,4.54322312,8.48504553,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,6245.9,4.54322312,8.48504553,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,6280.0,4.5434868,8.48517615,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,6280.0,4.5434868,8.48517615,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,6280.0,4.5434868,8.48517615,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,6280.0,4.5434868,8.48517615,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,6280.0,4.5434868,8.48517615,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,at-grade,6280.0,4.5434868,8.48517615,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,6294.15,4.54359622,8.48523034,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,6294.15,4.54359622,8.48523034,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,at-grade,6294.15,4.54359622,8.48523034,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,6308.3,4.54370563,8.48528454,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,6308.3,4.54370563,8.48528454,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,at-grade,6308.3,4.54370563,8.48528454,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,6308.3,4.54370563,8.48528454,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,6308.3,4.54370563,8.48528454,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,elevated,6308.3,4.54370563,8.48528454,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,6318.3,4.54379063,8.48529076,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,6318.3,4.54379063,8.48529076,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,elevated,6318.3,4.54379063,8.48529076,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,6328.3,4.54387711,8.48529076,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,6328.3,4.54387711,8.48529076,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,elevated,6328.3,4.54387711,8.48529076,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,6328.3,4.54387711,8.48529076,0..30cm,24.0,12.0,37.0,54.0,26.0,82.0,21.0,7.0,41.0,1450.0,1250.0,1620.0,8.6,4.1,14.4,6.2,5.5,7.0
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,6328.3,4.54387711,8.48529076,30..60cm,27.0,15.0,40.0,52.0,22.0,80.0,22.0,6.0,40.0,1480.0,1260.0,1660.0,5.2,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,at-grade,6328.3,4.54387711,8.48529076,60..100cm,28.0,14.0,41.0,49.0,24.0,72.0,23.0,7.0,38.0,1530.0,1340.0,1730.0,3.8,1.8,6.7,6.0,5.1,7.2
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,at-grade,6352.45,4.54408536,8.48529268,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,at-grade,6352.45,4.54408536,8.48529268,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,at-grade,6352.45,4.54408536,8.48529268,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,at-grade,6376.6,4.54427222,8.48538524,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,at-grade,6376.6,4.54427222,8.48538524,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,at-grade,6376.6,4.54427222,8.48538524,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,elevated,6376.6,4.54427222,8.48538524,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,elevated,6376.6,4.54427222,8.48538524,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,elevated,6376.6,4.54427222,8.48538524,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,elevated,6396.6,4.54442687,8.48546184,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,elevated,6396.6,4.54442687,8.48546184,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,elevated,6396.6,4.54442687,8.48546184,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,elevated,6416.6,4.54458152,8.485403,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,elevated,6416.6,4.54458152,8.485403,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,elevated,6416.6,4.54458152,8.485403,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,at-grade,6416.6,4.54458152,8.485403,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,at-grade,6416.6,4.54458152,8.485403,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,at-grade,6416.6,4.54458152,8.485403,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,at-grade,6430.75,4.54469093,8.4853488,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,at-grade,6430.75,4.54469093,8.4853488,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,at-grade,6430.75,4.54469093,8.4853488,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,at-grade,6444.9,4.54480035,8.4852946,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,at-grade,6444.9,4.54480035,8.4852946,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,at-grade,6444.9,4.54480035,8.4852946,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,elevated,6444.9,4.54480035,8.4852946,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,elevated,6444.9,4.54480035,8.4852946,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,elevated,6444.9,4.54480035,8.4852946,60..100cm,27.0,13.0,40.0,51.0,24.0,74.0,22.0,6.0,39.0,1540.0,1340.0,1770.0,3.8,1.8,6.6,6.0,5.1,7.2
segment:line-1-civil-010:0001,civil_segment,line-1-civil-010,line-1,elevated,6469.05,4.5448975,8.48546788,0..30cm,24.0,11.0,37.0,55.0,26.0,82.0,21.0,5.0,37.0,1450.0,1250.0,1630.0,8.4,4.5,14.5,6.2,5.5,6.8
segment:line-1-civil-010:0001,civil_segment,line-1-civil-010,line-1,elevated,6469.05,4.5448975,8.48546788,30..60cm,26.0,13.0,40.0,53.0,22.0,80.0,21.0,6.0,40.0,1480.0,1260.0,1680.0,5.1,2.6,9.0,6.0,5.3,6.7
