sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,62.24253619,34.37578433,0..30cm,22.0,7.0,34.0,52.0,33.0,73.0,27.0,16.0,38.0,1400.0,1230.0,1570.0,3.5,1.2,8.2,7.8,7.2,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,62.24253619,34.37578433,30..60cm,22.0,7.0,35.0,52.0,27.0,78.0,26.0,16.0,39.0,1400.0,1230.0,1610.0,2.6,0.8,5.6,7.7,6.8,8.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,62.24253619,34.37578433,60..100cm,23.0,6.0,37.0,52.0,27.0,78.0,26.0,11.0,42.0,1450.0,1240.0,1700.0,2.0,0.2,4.9,7.7,6.7,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,62.24250396,34.3755777,0..30cm,22.0,7.0,34.0,52.0,33.0,73.0,27.0,16.0,38.0,1400.0,1230.0,1570.0,3.5,1.2,8.2,7.8,7.2,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,62.24250396,34.3755777,30..60cm,22.0,7.0,35.0,52.0,27.0,78.0,26.0,16.0,39.0,1400.0,1230.0,1610.0,2.6,0.8,5.6,7.7,6.8,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,62.24250396,34.3755777,60..100cm,23.0,6.0,37.0,52.0,27.0,78.0,26.0,11.0,42.0,1450.0,1240.0,1700.0,2.0,0.2,4.9,7.7,6.7,8.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,62.24231783,34.3754244,0..30cm,22.0,7.0,34.0,52.0,33.0,73.0,27.0,16.0,38.0,1400.0,1230.0,1570.0,3.5,1.2,8.2,7.8,7.2,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,62.24231783,34.3754244,30..60cm,22.0,7.0,35.0,52.0,27.0,78.0,26.0,16.0,39.0,1400.0,1230.0,1610.0,2.6,0.8,5.6,7.7,6.8,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,62.24231783,34.3754244,60..100cm,23.0,6.0,37.0,52.0,27.0,78.0,26.0,11.0,42.0,1450.0,1240.0,1700.0,2.0,0.2,4.9,7.7,6.7,8.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,62.24231783,34.3754244,0..30cm,22.0,7.0,34.0,52.0,33.0,73.0,27.0,16.0,38.0,1400.0,1230.0,1570.0,3.5,1.2,8.2,7.8,7.2,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,62.24231783,34.3754244,30..60cm,22.0,7.0,35.0,52.0,27.0,78.0,26.0,16.0,39.0,1400.0,1230.0,1610.0,2.6,0.8,5.6,7.7,6.8,8.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,62.24231783,34.3754244,60..100cm,23.0,6.0,37.0,52.0,27.0,78.0,26.0,11.0,42.0,1450.0,1240.0,1700.0,2.0,0.2,4.9,7.7,6.7,8.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.355,62.23525195,34.37030035,0..30cm,23.0,12.0,33.0,46.0,22.0,67.0,31.0,17.0,44.0,1400.0,1250.0,1580.0,4.2,2.2,7.5,7.8,7.2,8.4
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.355,62.23525195,34.37030035,30..60cm,25.0,6.0,37.0,46.0,19.0,77.0,29.0,11.0,45.0,1420.0,1260.0,1620.0,3.4,1.3,7.0,7.7,6.8,8.6
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.355,62.23525195,34.37030035,60..100cm,26.0,7.0,37.0,47.0,19.0,78.0,28.0,10.0,44.0,1450.0,1220.0,1690.0,2.6,0.7,5.2,7.8,6.7,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2045.95,62.22745742,34.36439437,0..30cm,24.0,13.0,37.0,42.0,17.0,63.0,34.0,19.0,50.0,1410.0,1220.0,1590.0,4.9,2.5,9.4,7.8,7.2,8.4
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2045.95,62.22745742,34.36439437,30..60cm,25.0,11.0,39.0,44.0,16.0,73.0,31.0,16.0,46.0,1430.0,1260.0,1600.0,3.7,1.8,7.0,7.6,6.7,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2045.95,62.22745742,34.36439437,60..100cm,26.0,11.0,39.0,45.0,13.0,73.0,29.0,14.0,53.0,1450.0,1230.0,1700.0,2.5,1.2,5.0,7.5,6.7,8.4
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2046.41,62.22745388,34.36439144,0..30cm,24.0,13.0,37.0,42.0,17.0,63.0,34.0,19.0,50.0,1410.0,1220.0,1590.0,4.9,2.5,9.4,7.8,7.2,8.4
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2046.41,62.22745388,34.36439144,30..60cm,25.0,11.0,39.0,44.0,16.0,73.0,31.0,16.0,46.0,1430.0,1260.0,1600.0,3.7,1.8,7.0,7.6,6.7,8.3
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2046.41,62.22745388,34.36439144,60..100cm,26.0,11.0,39.0,45.0,13.0,73.0,29.0,14.0,53.0,1450.0,1230.0,1700.0,2.5,1.2,5.0,7.5,6.7,8.4
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3045.465,62.21888807,34.36804578,0..30cm,24.0,12.0,37.0,42.0,16.0,64.0,34.0,21.0,49.0,1410.0,1220.0,1570.0,4.8,2.3,10.1,7.8,7.2,8.4
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3045.465,62.21888807,34.36804578,30..60cm,26.0,11.0,40.0,44.0,16.0,66.0,31.0,19.0,43.0,1410.0,1260.0,1590.0,3.6,1.3,6.6,7.7,6.7,8.5
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3045.465,62.21888807,34.36804578,60..100cm,27.0,11.0,41.0,44.0,15.0,66.0,29.0,16.0,45.0,1440.0,1230.0,1650.0,2.5,0.9,5.1,7.7,6.7,8.7
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4043.6,62.21581405,34.36242952,0..30cm,19.0,7.0,29.0,49.0,31.0,69.0,32.0,17.0,46.0,1390.0,1170.0,1580.0,4.0,1.6,7.7,7.7,7.1,8.3
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4043.6,62.21581405,34.36242952,30..60cm,22.0,9.0,34.0,51.0,31.0,71.0,28.0,17.0,42.0,1410.0,1230.0,1570.0,2.9,0.9,7.0,7.6,6.7,8.4
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4043.6,62.21581405,34.36242952,60..100cm,23.0,10.0,36.0,51.0,31.0,73.0,25.0,11.0,40.0,1440.0,1230.0,1650.0,2.4,0.6,5.1,7.6,6.7,8.6
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,4043.6,62.21581405,34.36242952,0..30cm,19.0,7.0,29.0,49.0,31.0,69.0,32.0,17.0,46.0,1390.0,1170.0,1580.0,4.0,1.6,7.7,7.7,7.1,8.3
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,4043.6,62.21581405,34.36242952,30..60cm,22.0,9.0,34.0,51.0,31.0,71.0,28.0,17.0,42.0,1410.0,1230.0,1570.0,2.9,0.9,7.0,7.6,6.7,8.4
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,4043.6,62.21581405,34.36242952,60..100cm,23.0,10.0,36.0,51.0,31.0,73.0,25.0,11.0,40.0,1440.0,1230.0,1650.0,2.4,0.6,5.1,7.6,6.7,8.6
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,4057.75,62.21592303,34.3623394,0..30cm,19.0,7.0,29.0,49.0,31.0,69.0,32.0,17.0,46.0,1390.0,1170.0,1580.0,4.0,1.6,7.7,7.7,7.1,8.3
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,4057.75,62.21592303,34.3623394,30..60cm,22.0,9.0,34.0,51.0,31.0,71.0,28.0,17.0,42.0,1410.0,1230.0,1570.0,2.9,0.9,7.0,7.6,6.7,8.4
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,4057.75,62.21592303,34.3623394,60..100cm,23.0,10.0,36.0,51.0,31.0,73.0,25.0,11.0,40.0,1440.0,1230.0,1650.0,2.4,0.6,5.1,7.6,6.7,8.6
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,4071.9,62.21598655,34.36223363,0..30cm,19.0,7.0,29.0,49.0,31.0,69.0,32.0,17.0,46.0,1390.0,1170.0,1580.0,4.0,1.6,7.7,7.7,7.1,8.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,4071.9,62.21598655,34.36223363,30..60cm,22.0,9.0,34.0,51.0,31.0,71.0,28.0,17.0,42.0,1410.0,1230.0,1570.0,2.9,0.9,7.0,7.6,6.7,8.4
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,4071.9,62.21598655,34.36223363,60..100cm,23.0,10.0,36.0,51.0,31.0,73.0,25.0,11.0,40.0,1440.0,1230.0,1650.0,2.4,0.6,5.1,7.6,6.7,8.6
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,4071.9,62.21598655,34.36223363,0..30cm,19.0,7.0,29.0,49.0,31.0,69.0,32.0,17.0,46.0,1390.0,1170.0,1580.0,4.0,1.6,7.7,7.7,7.1,8.3
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,4071.9,62.21598655,34.36223363,30..60cm,22.0,9.0,34.0,51.0,31.0,71.0,28.0,17.0,42.0,1410.0,1230.0,1570.0,2.9,0.9,7.0,7.6,6.7,8.4
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,4071.9,62.21598655,34.36223363,60..100cm,23.0,10.0,36.0,51.0,31.0,73.0,25.0,11.0,40.0,1440.0,1230.0,1650.0,2.4,0.6,5.1,7.6,6.7,8.6
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,4371.9,62.21598655,34.35953254,0..30cm,25.0,14.0,34.0,37.0,13.0,58.0,39.0,22.0,54.0,1390.0,1240.0,1560.0,4.6,2.0,9.0,7.7,7.2,8.3
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,4371.9,62.21598655,34.35953254,30..60cm,27.0,12.0,39.0,41.0,16.0,66.0,32.0,20.0,46.0,1440.0,1290.0,1600.0,3.4,1.1,6.8,7.5,6.6,8.3
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,4371.9,62.21598655,34.35953254,60..100cm,29.0,12.0,44.0,43.0,16.0,68.0,28.0,14.0,44.0,1450.0,1230.0,1640.0,2.4,0.7,5.4,7.5,6.6,8.4
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,4671.9,62.21603474,34.35684803,0..30cm,20.0,10.0,31.0,48.0,29.0,67.0,33.0,20.0,46.0,1380.0,1170.0,1560.0,3.8,1.6,7.3,7.7,7.2,8.3
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,4671.9,62.21603474,34.35684803,30..60cm,23.0,10.0,37.0,49.0,32.0,66.0,28.0,17.0,38.0,1410.0,1230.0,1570.0,2.7,0.9,7.9,7.6,6.7,8.4
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,4671.9,62.21603474,34.35684803,60..100cm,25.0,10.0,39.0,50.0,33.0,70.0,25.0,14.0,39.0,1430.0,1230.0,1640.0,2.3,0.5,4.6,7.6,6.7,8.6
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,elevated,4671.9,62.21603474,34.35684803,0..30cm,20.0,10.0,31.0,48.0,29.0,67.0,33.0,20.0,46.0,1380.0,1170.0,1560.0,3.8,1.6,7.3,7.7,7.2,8.3
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,elevated,4671.9,62.21603474,34.35684803,30..60cm,23.0,10.0,37.0,49.0,32.0,66.0,28.0,17.0,38.0,1410.0,1230.0,1570.0,2.7,0.9,7.9,7.6,6.7,8.4
segment:line-1-civil-005:0000,civil_segment,line-1-civil-005,line-1,elevated,4671.9,62.21603474,34.35684803,60..100cm,25.0,10.0,39.0,50.0,33.0,70.0,25.0,14.0,39.0,1430.0,1230.0,1640.0,2.3,0.5,4.6,7.6,6.7,8.6
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,elevated,4686.0,62.21614333,34.35675823,0..30cm,20.0,10.0,31.0,48.0,29.0,67.0,33.0,20.0,46.0,1380.0,1170.0,1560.0,3.8,1.6,7.3,7.7,7.2,8.3
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,elevated,4686.0,62.21614333,34.35675823,30..60cm,23.0,10.0,37.0,49.0,32.0,66.0,28.0,17.0,38.0,1410.0,1230.0,1570.0,2.7,0.9,7.9,7.6,6.7,8.4
segment:line-1-civil-005:0001,civil_segment,line-1-civil-005,line-1,elevated,4686.0,62.21614333,34.35675823,60..100cm,25.0,10.0,39.0,50.0,33.0,70.0,25.0,14.0,39.0,1430.0,1230.0,1640.0,2.3,0.5,4.6,7.6,6.7,8.6
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,elevated,4700.1,62.21620417,34.356652,0..30cm,20.0,10.0,31.0,48.0,29.0,67.0,33.0,20.0,46.0,1380.0,1170.0,1560.0,3.8,1.6,7.3,7.7,7.2,8.3
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,elevated,4700.1,62.21620417,34.356652,30..60cm,23.0,10.0,37.0,49.0,32.0,66.0,28.0,17.0,38.0,1410.0,1230.0,1570.0,2.7,0.9,7.9,7.6,6.7,8.4
segment:line-1-civil-005:0002,civil_segment,line-1-civil-005,line-1,elevated,4700.1,62.21620417,34.356652,60..100cm,25.0,10.0,39.0,50.0,33.0,70.0,25.0,14.0,39.0,1430.0,1230.0,1640.0,2.3,0.5,4.6,7.6,6.7,8.6
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,at-grade,4700.1,62.21620417,34.356652,0..30cm,20.0,10.0,31.0,48.0,29.0,67.0,33.0,20.0,46.0,1380.0,1170.0,1560.0,3.8,1.6,7.3,7.7,7.2,8.3
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,at-grade,4700.1,62.21620417,34.356652,30..60cm,23.0,10.0,37.0,49.0,32.0,66.0,28.0,17.0,38.0,1410.0,1230.0,1570.0,2.7,0.9,7.9,7.6,6.7,8.4
segment:line-1-civil-006:0000,civil_segment,line-1-civil-006,line-1,at-grade,4700.1,62.21620417,34.356652,60..100cm,25.0,10.0,39.0,50.0,33.0,70.0,25.0,14.0,39.0,1430.0,1230.0,1640.0,2.3,0.5,4.6,7.6,6.7,8.6
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,at-grade,5698.009,62.21496448,34.35202879,0..30cm,24.0,11.0,37.0,38.0,13.0,60.0,38.0,24.0,54.0,1400.0,1220.0,1550.0,6.3,3.5,11.7,7.7,7.2,8.2
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,at-grade,5698.009,62.21496448,34.35202879,30..60cm,27.0,12.0,41.0,42.0,17.0,66.0,32.0,17.0,47.0,1450.0,1290.0,1640.0,4.2,2.3,6.5,7.5,6.6,8.3
segment:line-1-civil-006:0001,civil_segment,line-1-civil-006,line-1,at-grade,5698.009,62.21496448,34.35202879,60..100cm,29.0,13.0,44.0,43.0,18.0,67.0,28.0,12.0,41.0,1470.0,1280.0,1670.0,2.7,1.2,5.1,7.5,6.6,8.4
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,at-grade,5701.25,62.21492917,34.35202879,0..30cm,24.0,11.0,37.0,38.0,13.0,60.0,38.0,24.0,54.0,1400.0,1220.0,1550.0,6.3,3.5,11.7,7.7,7.2,8.2
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,at-grade,5701.25,62.21492917,34.35202879,30..60cm,27.0,12.0,41.0,42.0,17.0,66.0,32.0,17.0,47.0,1450.0,1290.0,1640.0,4.2,2.3,6.5,7.5,6.6,8.3
segment:line-1-civil-006:0002,civil_segment,line-1-civil-006,line-1,at-grade,5701.25,62.21492917,34.35202879,60..100cm,29.0,13.0,44.0,43.0,18.0,67.0,28.0,12.0,41.0,1470.0,1280.0,1670.0,2.7,1.2,5.1,7.5,6.6,8.4
segment:line-1-civil-006:0003,civil_segment,line-1-civil-006,line-1,at-grade,6695.918,62.20487768,34.35229084,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-006:0003,civil_segment,line-1-civil-006,line-1,at-grade,6695.918,62.20487768,34.35229084,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-006:0003,civil_segment,line-1-civil-006,line-1,at-grade,6695.918,62.20487768,34.35229084,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-006:0004,civil_segment,line-1-civil-006,line-1,at-grade,6702.4,62.20482819,34.35233261,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-006:0004,civil_segment,line-1-civil-006,line-1,at-grade,6702.4,62.20482819,34.35233261,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-006:0004,civil_segment,line-1-civil-006,line-1,at-grade,6702.4,62.20482819,34.35233261,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,elevated,6702.4,62.20482819,34.35233261,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,elevated,6702.4,62.20482819,34.35233261,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-007:0000,civil_segment,line-1-civil-007,line-1,elevated,6702.4,62.20482819,34.35233261,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,elevated,6716.55,62.20472027,34.3524237,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,elevated,6716.55,62.20472027,34.3524237,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-007:0001,civil_segment,line-1-civil-007,line-1,elevated,6716.55,62.20472027,34.3524237,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,elevated,6730.7,62.20461022,34.352513,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,elevated,6730.7,62.20461022,34.352513,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-007:0002,civil_segment,line-1-civil-007,line-1,elevated,6730.7,62.20461022,34.352513,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,at-grade,6730.7,62.20461022,34.352513,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,at-grade,6730.7,62.20461022,34.352513,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
segment:line-1-civil-008:0000,civil_segment,line-1-civil-008,line-1,at-grade,6730.7,62.20461022,34.352513,60..100cm,26.0,9.0,42.0,49.0,20.0,74.0,25.0,10.0,42.0,1440.0,1270.0,1640.0,2.4,0.8,4.3,7.5,6.6,8.4
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,at-grade,6803.1,62.20398457,34.35247372,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,at-grade,6803.1,62.20398457,34.35247372,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-008:0001,civil_segment,line-1-civil-008,line-1,at-grade,6803.1,62.20398457,34.35247372,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,at-grade,6875.5,62.20374753,34.35278445,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,at-grade,6875.5,62.20374753,34.35278445,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-008:0002,civil_segment,line-1-civil-008,line-1,at-grade,6875.5,62.20374753,34.35278445,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,elevated,6875.5,62.20374753,34.35278445,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,elevated,6875.5,62.20374753,34.35278445,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-009:0000,civil_segment,line-1-civil-009,line-1,elevated,6875.5,62.20374753,34.35278445,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,elevated,6885.5,62.20373632,34.35269601,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,elevated,6885.5,62.20373632,34.35269601,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-009:0001,civil_segment,line-1-civil-009,line-1,elevated,6885.5,62.20373632,34.35269601,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,elevated,6895.5,62.20373936,34.35260601,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,elevated,6895.5,62.20373936,34.35260601,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-009:0002,civil_segment,line-1-civil-009,line-1,elevated,6895.5,62.20373936,34.35260601,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,at-grade,6895.5,62.20373936,34.35260601,0..30cm,19.0,6.0,33.0,49.0,30.0,68.0,32.0,18.0,46.0,1410.0,1220.0,1570.0,3.5,1.4,6.7,7.7,7.0,8.3
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,at-grade,6895.5,62.20373936,34.35260601,30..60cm,22.0,6.0,35.0,51.0,32.0,70.0,27.0,16.0,39.0,1430.0,1260.0,1580.0,2.7,1.2,7.0,7.5,6.6,8.3
segment:line-1-civil-010:0000,civil_segment,line-1-civil-010,line-1,at-grade,6895.5,62.20373936,34.35260601,60..100cm,24.0,8.0,40.0,52.0,27.0,74.0,24.0,10.0,40.0,1450.0,1280.0,1640.0,2.4,0.9,4.9,7.5,6.6,8.7
segment:line-1-civil-010:0001,civil_segment,line-1-civil-010,line-1,at-grade,6967.95,62.20427077,34.3525204,0..30cm,20.0,7.0,33.0,46.0,20.0,69.0,33.0,18.0,49.0,1390.0,1200.0,1570.0,3.7,1.6,7.5,7.7,7.0,8.3
segment:line-1-civil-010:0001,civil_segment,line-1-civil-010,line-1,at-grade,6967.95,62.20427077,34.3525204,30..60cm,23.0,7.0,37.0,48.0,20.0,70.0,29.0,16.0,43.0,1420.0,1260.0,1600.0,2.8,1.1,7.0,7.5,6.6,8.3
